Timestamp,TagID,x(m),y(m),
2020-03-02T15:39:45.292480Z,0,51.2732,53.6325,
2020-03-02T15:39:45.292511Z,1,251.825,51.3701,
2020-03-02T15:39:45.292519Z,2,57.2567,254.471,
2020-03-02T15:39:45.292525Z,42,234.69,306.329,
2020-03-02T15:39:45.325345Z,0,51.2671,53.6586,
2020-03-02T15:39:45.325379Z,1,251.799,51.3583,
2020-03-02T15:39:45.325387Z,2,57.2889,254.453,
2020-03-02T15:39:45.325394Z,42,234.786,306.303,
2020-03-02T15:39:45.357222Z,0,51.2879,53.6563,
2020-03-02T15:39:45.357268Z,1,251.809,51.3592,
2020-03-02T15:39:45.357281Z,2,57.2441,254.438,
2020-03-02T15:39:45.357291Z,42,234.908,306.238,
2020-03-02T15:39:45.392364Z,0,51.227,53.6647,
2020-03-02T15:39:45.392395Z,1,251.823,51.3585,
2020-03-02T15:39:45.392403Z,2,57.2578,254.457,
2020-03-02T15:39:45.392410Z,42,235.047,306.217,
2020-03-02T15:39:45.424396Z,0,51.2677,53.6477,
2020-03-02T15:39:45.424428Z,1,251.803,51.3527,
2020-03-02T15:39:45.424436Z,2,57.2777,254.456,
2020-03-02T15:39:45.424443Z,42,235.275,306.328,
2020-03-02T15:39:45.456056Z,0,51.2402,53.6998,
2020-03-02T15:39:45.456086Z,1,251.826,51.3579,
2020-03-02T15:39:45.456094Z,2,57.2625,254.44,
2020-03-02T15:39:45.456100Z,42,235.227,306.246,
2020-03-02T15:39:45.493736Z,0,51.251,53.6299,
2020-03-02T15:39:45.493779Z,1,251.809,51.3661,
2020-03-02T15:39:45.493791Z,2,57.2564,254.438,
2020-03-02T15:39:45.493801Z,42,235.194,306.317,
2020-03-02T15:39:45.525904Z,0,51.2794,53.6402,
2020-03-02T15:39:45.525962Z,1,251.811,51.3791,
2020-03-02T15:39:45.525972Z,2,57.2358,254.461,
2020-03-02T15:39:45.525979Z,42,236.5,307.25,
2020-03-02T15:39:45.758749Z,0,51.2491,53.6442,
2020-03-02T15:39:45.758839Z,1,251.818,51.3377,
2020-03-02T15:39:45.758849Z,2,57.2946,254.448,
2020-03-02T15:39:45.758857Z,42,234.734,306.594,
2020-03-02T15:39:45.793993Z,0,51.2585,53.656,
2020-03-02T15:39:45.794031Z,1,251.802,51.3521,
2020-03-02T15:39:45.794041Z,2,57.2367,254.459,
2020-03-02T15:39:45.794049Z,42,234.889,306.65,
2020-03-02T15:39:45.893524Z,0,51.2721,53.6598,
2020-03-02T15:39:45.893556Z,1,251.849,51.3642,
2020-03-02T15:39:45.893564Z,2,57.2593,254.443,
2020-03-02T15:39:45.893571Z,42,235.532,307.003,
2020-03-02T15:39:45.924587Z,0,51.248,53.6598,
2020-03-02T15:39:45.924621Z,1,251.817,51.3696,
2020-03-02T15:39:45.924630Z,2,57.2508,254.469,
2020-03-02T15:39:45.924637Z,42,235.624,306.332,
2020-03-02T15:39:45.992919Z,0,51.2706,53.6354,
2020-03-02T15:39:45.992957Z,1,251.831,51.3491,
2020-03-02T15:39:45.992966Z,2,57.2459,254.462,
2020-03-02T15:39:45.992975Z,42,236.095,306.228,
2020-03-02T15:39:46.056677Z,0,51.2443,53.6628,
2020-03-02T15:39:46.056710Z,1,251.84,51.3426,
2020-03-02T15:39:46.056717Z,2,57.2588,254.441,
2020-03-02T15:39:46.056729Z,42,235.853,306.482,
2020-03-02T15:39:46.093277Z,0,51.2475,53.6482,
2020-03-02T15:39:46.093314Z,1,251.827,51.3634,
2020-03-02T15:39:46.093323Z,2,57.2621,254.441,
2020-03-02T15:39:46.093330Z,42,236.28,306.381,
2020-03-02T15:39:46.126452Z,0,51.2564,53.6663,
2020-03-02T15:39:46.126517Z,1,251.837,51.3591,
2020-03-02T15:39:46.126532Z,2,57.2567,254.463,
2020-03-02T15:39:46.126546Z,42,236.325,306.483,
2020-03-02T15:39:46.192323Z,0,51.2323,53.6528,
2020-03-02T15:39:46.192357Z,1,251.83,51.3649,
2020-03-02T15:39:46.192366Z,2,57.253,254.473,
2020-03-02T15:39:46.192374Z,42,236.409,306.467,
2020-03-02T15:39:46.225140Z,0,51.2553,53.6677,
2020-03-02T15:39:46.225176Z,1,251.826,51.3638,
2020-03-02T15:39:46.225186Z,2,57.2412,254.462,
2020-03-02T15:39:46.225205Z,42,236.257,306.452,
2020-03-02T15:39:46.295108Z,0,51.2604,53.6616,
2020-03-02T15:39:46.295230Z,1,251.824,51.377,
2020-03-02T15:39:46.295250Z,2,57.2384,254.468,
2020-03-02T15:39:46.295265Z,42,236.15,306.422,
2020-03-02T15:39:46.329757Z,0,51.2125,53.6491,
2020-03-02T15:39:46.329888Z,1,251.823,51.3611,
2020-03-02T15:39:46.329914Z,2,57.2503,254.46,
2020-03-02T15:39:46.329934Z,42,236.078,306.426,
2020-03-02T15:39:46.362233Z,0,51.2391,53.6644,
2020-03-02T15:39:46.362313Z,1,251.839,51.3573,
2020-03-02T15:39:46.362335Z,2,57.2491,254.465,
2020-03-02T15:39:46.362353Z,42,236.021,306.238,
2020-03-02T15:39:46.394184Z,0,51.2071,53.6249,
2020-03-02T15:39:46.394222Z,1,251.836,51.3582,
2020-03-02T15:39:46.394232Z,2,57.267,254.455,
