Timestamp,TagID,x(m),y(m),theta(rad),
2020-03-10T17:00:00.960067+00:00,42,0.378276,-0.605639,0.0868226,
2020-03-10T17:00:00.987078+00:00,42,0.378283,-0.605682,0.0865605,
2020-03-10T17:00:01.027681+00:00,42,0.378274,-0.605674,0.0865926,
2020-03-10T17:00:01.059261+00:00,42,0.37832,-0.605761,0.0862195,
2020-03-10T17:00:01.090668+00:00,42,0.37825,-0.605788,0.0862372,
2020-03-10T17:00:01.127453+00:00,42,0.378385,-0.605694,0.086291,
2020-03-10T17:00:01.160361+00:00,42,0.378316,-0.605669,0.086743,
2020-03-10T17:00:01.191858+00:00,42,0.378281,-0.605718,0.0862498,
2020-03-10T17:00:01.226803+00:00,42,0.378305,-0.605681,0.0865647,
2020-03-10T17:00:01.260203+00:00,42,0.3784,-0.605659,0.0859334,
2020-03-10T17:00:01.287104+00:00,42,0.378387,-0.605566,0.0866351,
2020-03-10T17:00:01.326858+00:00,42,0.378172,-0.60578,0.0858254,
2020-03-10T17:00:01.358833+00:00,42,0.378172,-0.605718,0.0865479,
2020-03-10T17:00:01.391675+00:00,42,0.378399,-0.605542,0.0870863,
2020-03-10T17:00:01.426223+00:00,42,0.378311,-0.605484,0.0869115,
2020-03-10T17:00:01.454404+00:00,42,0.37822,-0.605539,0.0862013,
2020-03-10T17:00:01.486494+00:00,42,0.378419,-0.605431,0.0865905,
2020-03-10T17:00:01.527696+00:00,42,0.3784,-0.60527,0.0868049,
2020-03-10T17:00:01.559413+00:00,42,0.378357,-0.605016,0.0880563,
2020-03-10T17:00:01.591004+00:00,42,0.378271,-0.604841,0.0897239,
2020-03-10T17:00:01.627501+00:00,42,0.378348,-0.604582,0.0915946,
2020-03-10T17:00:01.658755+00:00,42,0.378358,-0.604392,0.0916435,
2020-03-10T17:00:01.691667+00:00,42,0.378413,-0.604328,0.0911276,
2020-03-10T17:00:01.727326+00:00,42,0.378547,-0.604099,0.092103,
2020-03-10T17:00:01.759278+00:00,42,0.378586,-0.603852,0.0925916,
2020-03-10T17:00:01.791375+00:00,42,0.378531,-0.603697,0.0898494,
2020-03-10T17:00:01.827578+00:00,42,0.37855,-0.603492,0.0889986,
2020-03-10T17:00:01.858968+00:00,42,0.378492,-0.603259,0.0867973,
2020-03-10T17:00:01.893372+00:00,42,0.378388,-0.602751,0.082708,
2020-03-10T17:00:01.928057+00:00,42,0.378441,-0.602426,0.0804245,
2020-03-10T17:00:01.960116+00:00,42,0.378351,-0.601842,0.0798384,
2020-03-10T17:00:01.990841+00:00,42,0.378159,-0.601718,0.0795004,
2020-03-10T17:00:02.029353+00:00,42,0.378197,-0.600962,0.0763004,
2020-03-10T17:00:02.059649+00:00,42,0.378152,-0.60047,0.0772089,
2020-03-10T17:00:02.091203+00:00,42,0.378114,-0.599833,0.0780682,
2020-03-10T17:00:02.123518+00:00,42,0.378055,-0.599401,0.0772932,
2020-03-10T17:00:02.159661+00:00,42,0.377776,-0.598882,0.0782862,
2020-03-10T17:00:02.188116+00:00,42,0.377838,-0.598147,0.0802577,
2020-03-10T17:00:02.218903+00:00,42,0.377893,-0.597788,0.0817041,
2020-03-10T17:00:02.254946+00:00,42,0.37769,-0.597516,0.0825533,
2020-03-10T17:00:02.287096+00:00,42,0.377907,-0.597081,0.0835198,
2020-03-10T17:00:02.320005+00:00,42,0.377679,-0.596779,0.0851751,
2020-03-10T17:00:02.359331+00:00,42,0.377862,-0.596307,0.0877713,
2020-03-10T17:00:02.391903+00:00,42,0.377788,-0.596,0.090354,
2020-03-10T17:00:02.419207+00:00,42,0.377825,-0.594918,0.087659,
2020-03-10T17:00:02.458680+00:00,42,0.377836,-0.594176,0.0841206,
2020-03-10T17:00:02.491643+00:00,42,0.377752,-0.593331,0.0821968,
2020-03-10T17:00:02.519198+00:00,42,0.377758,-0.592255,0.0800382,
2020-03-10T17:00:02.559743+00:00,42,0.377884,-0.591687,0.0802739,
2020-03-10T17:00:02.587124+00:00,42,0.37748,-0.590539,0.0840022,
2020-03-10T17:00:02.618488+00:00,42,0.377505,-0.589628,0.0860758,
2020-03-10T17:00:02.657664+00:00,42,0.377491,-0.589029,0.0868317,
2020-03-10T17:00:02.691486+00:00,42,0.377403,-0.588582,0.0880152,
2020-03-10T17:00:02.723972+00:00,42,0.377568,-0.587885,0.0877089,
2020-03-10T17:00:02.759869+00:00,42,0.377493,-0.587015,0.0828633,
2020-03-10T17:00:02.791233+00:00,42,0.377388,-0.585708,0.08029,
2020-03-10T17:00:02.826571+00:00,42,0.377449,-0.583822,0.0805776,
2020-03-10T17:00:02.859813+00:00,42,0.377135,-0.58242,0.08302,
2020-03-10T17:00:02.891899+00:00,42,0.376882,-0.581296,0.087859,
2020-03-10T17:00:02.920098+00:00,42,0.377028,-0.580398,0.0932071,
2020-03-10T17:00:02.955564+00:00,42,0.377121,-0.580046,0.0944747,
2020-03-10T17:00:02.986497+00:00,42,0.377112,-0.57892,0.0880817,
2020-03-10T17:00:03.019150+00:00,42,0.377067,-0.578116,0.0842056,
2020-03-10T17:00:03.056109+00:00,42,0.377082,-0.577257,0.081638,
2020-03-10T17:00:03.087159+00:00,42,0.376932,-0.575563,0.0797325,
2020-03-10T17:00:03.121449+00:00,42,0.376698,-0.574585,0.080823,
2020-03-10T17:00:03.158949+00:00,42,0.37667,-0.573458,0.0846581,
2020-03-10T17:00:03.191432+00:00,42,0.376459,-0.572496,0.0870218,
2020-03-10T17:00:03.219376+00:00,42,0.376566,-0.572211,0.0881101,
2020-03-10T17:00:03.251513+00:00,42,0.376654,-0.570998,0.084755,
2020-03-10T17:00:03.286407+00:00,42,0.376654,-0.570998,0.084755,
2020-03-10T17:00:03.320331+00:00,42,0.376429,-0.568121,0.0833507,
